"";"title";"Year"
"701";"Day for Night (La Nuit américaine)";"1973"
"702";"Paper Moon";"1973"
"703";"The Paper Chase";"1973"
"704";"Save the Tiger";"1973"
"705";"The Bolero";"1973"
"706";"Frank Film";"1973"
"707";"The Great American Cowboy";"1973"
"708";"Princeton: A Search for Answers";"1973"
"709";"The Godfather";"1972"
"710";"Cabaret";"1972"
"711";"The Poseidon Adventure";"1972"
"712";"Travels with My Aunt";"1972"
"713";"Butterflies Are Free";"1972"
"714";"The Candidate";"1972"
"715";"The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie)";"1972"
"716";"A Christmas Carol";"1972"
"717";"Limelight";"1972"
"718";"Marjoe";"1972"
"719";"Norman Rockwell's World... An American Dream";"1972"
"720";"This Tiny World";"1972"
"721";"The French Connection";"1971"
"722";"Fiddler on the Roof";"1971"
"723";"The Last Picture Show";"1971"
"724";"Nicholas and Alexandra";"1971"
"725";"Sentinels of Silence";"1971"
"726";"Bedknobs and Broomsticks";"1971"
"727";"Summer of '42";"1971"
"728";"The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini)";"1971"
"729";"The Hospital";"1971"
"730";"Klute";"1971"
"731";"Shaft";"1971"
"732";"The Crunch Bird";"1971"
"733";"The Hellstrom Chronicle";"1971"
"734";"Patton";"1970"
"735";"Ryan's Daughter";"1970"
"736";"Airport";"1970"
"737";"Love Story";"1970"
"738";"M*A*S*H";"1970"
"739";"Tora! Tora! Tora!";"1970"
"740";"Women in Love";"1970"
"741";"Lovers and Other Strangers";"1970"
"742";"Woodstock";"1970"
"743";"Cromwell";"1970"
"744";"Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto)";"1970"
"745";"Interviews with My Lai Veterans";"1970"
"746";"Is It Always Right to Be Right?";"1970"
"747";"Let It Be";"1970"
"748";"The Resurrection of Broncho Billy";"1970"
"749";"Midnight Cowboy";"1969"
"750";"Butch Cassidy and the Sundance Kid";"1969"
"751";"Hello, Dolly!";"1969"
"752";"Z";"1969"
"753";"Anne of the Thousand Days";"1969"
"754";"They Shoot Horses, Don't They?";"1969"
"755";"Marooned";"1969"
"756";"The Magic Machines";"1969"
"757";"The Prime of Miss Jean Brodie";"1969"
"758";"True Grit";"1969"
"759";"Arthur Rubinstein – The Love of Life (L'amour de la vie - Artur Rubinstein)";"1969"
"760";"Cactus Flower";"1969"
"761";"Czechoslovakia 1968";"1969"
"762";"It's Tough to Be a Bird";"1969"
"763";"Oliver!";"1968"
"764";"The Lion in Winter";"1968"
"765";"Romeo and Juliet";"1968"
"766";"Funny Girl";"1968"
"767";"2001: A Space Odyssey";"1968"
"768";"Bullitt";"1968"
"769";"The Producers";"1967"
"770";"Rosemary's Baby";"1968"
"771";"The Subject Was Roses";"1968"
"772";"The Thomas Crown Affair";"1968"
"773";"War and Peace (Voyna i mir)";"1968"
"774";"Charly";"1968"
"775";"Journey into Self";"1968"
"776";"Robert Kennedy Remembered";"1968"
"777";"Why Man Creates";"1968"
"778";"Winnie the Pooh and the Blustery Day";"1968"
"779";"Planet of the Apes";"1968"
"780";"In the Heat of the Night";"1967"
"781";"Camelot";"1967"
"782";"Bonnie and Clyde";"1967"
"783";"Guess Who's Coming to Dinner";"1967"
"784";"Doctor Dolittle";"1967"
"785";"The Graduate";"1967"
"786";"Thoroughly Modern Millie";"1967"
"787";"Cool Hand Luke";"1967"
"788";"The Dirty Dozen";"1967"
"789";"A Place to Stand";"1967"
"790";"The Anderson Platoon (La Section Anderson)";"1967"
"791";"The Box";"1967"
"792";"Closely Watched Trains (Ostre sledované vlaky)";"1967"
"793";"The Redwoods";"1967"
"794";"A Man for All Seasons";"1966"
"795";"Who's Afraid of Virginia Woolf?";"1966"
"796";"Grand Prix";"1966"
"797";"Fantastic Voyage";"1966"
"798";"A Man and a Woman";"1966"
"799";"Born Free";"1966"
"800";"The Fortune Cookie";"1966"
"801";"A Funny Thing Happened on the Way to the Forum";"1966"
"802";"A Herb Alpert and the Tijuana Brass Double Feature";"1966"
"803";"The War Game";"1966"
"804";"Wild Wings";"1966"
"805";"A Year Toward Tomorrow";"1966"
"806";"The Sound of Music";"1965"
"807";"Doctor Zhivago";"1965"
"808";"Darling";"1965"
"809";"Ship of Fools";"1965"
"810";"Cat Ballou";"1965"
"811";"The Great Race";"1965"
"812";"A Patch of Blue";"1965"
"813";"A Thousand Clowns";"1965"
"814";"The Shop on Main Street (Obchod na korze)";"1965"
"815";"The Sandpiper";"1965"
"816";"The Eleanor Roosevelt Story";"1965"
"817";"To Be Alive!";"1965"
"818";"7 Faces of Dr. Lao";"1964"
"819";"7th Heaven";"1927/28"
"820";"20,000 Leagues Under the Sea";"1954"
"821";"Adventures of Don Juan";"1949"
"822";"The Adventures of Robin Hood";"1938"
"823";"The African Queen";"1951"
"824";"Air Force";"1943"
"825";"The Alamo";"1960"
"826";"The Alaskan Eskimo";"1953"
"827";"Albert Schweitzer";"1957"
"828";"Alexander's Ragtime Band";"1938"
"829";"All About Eve";"1950"
"830";"All Quiet on the Western Front";"1929/30"
"831";"All That Money Can Buy";"1941"
"832";"All the King's Men";"1949"
"833";"Ama Girls";"1958"
"834";"America America";"1963"
"835";"An American in Paris";"1951"
"836";"Amphibious Fighters";"1943"
"837";"Anastasia";"1956"
"838";"Anchors Aweigh";"1945"
"839";"Anna and the King of Siam";"1946"
"840";"Annie Get Your Gun";"1950"
"841";"Anthony Adverse";"1936"
"842";"The Apartment";"1960"
"843";"Aquatic House Party";"1949"
"844";"Arise, My Love";"1940"
"845";"Around the World in 80 Days";"1956"
"846";"The Awful Truth";"1937"
"847";"The Bachelor and the Bobby-Soxer";"1947"
"848";"The Bad and the Beautiful";"1952"
"849";"Bad Girl";"1931/32"
"850";"The Barefoot Contessa";"1954"
"851";"The Battle of Midway";"1942"
"852";"Battleground";"1949"
"853";"Bear Country";"1953"
"854";"Becket";"1964"
"855";"The Bells of St. Mary's";"1945"
"856";"Ben-Hur";"1959"
"857";"Benjy";"1951"
"858";"The Bespoke Overcoat";"1956"
"859";"The Best Years of Our Lives";"1946"
"860";"Beyond the Line of Duty";"1942"
"861";"Bicycle Thieves";"1949"
"862";"The Big Broadcast of 1938";"1938"
"863";"The Big Country";"1958"
"864";"The Big House";"1929/30"
"865";"Bill and Coo";"1948"
"866";"Birds Anonymous";"1957"
"867";"The Bishop's Wife";"1947"
"868";"Black Fox: The Rise and Fall of Adolf Hitler (The Black Fox)";"1962"
"869";"Black Narcissus";"1947"
"870";"Black Orpheus (Orfeu Negro)";"1959"
"871";"The Black Swan";"1942"
"872";"Blithe Spirit";"1946"
"873";"Blood and Sand";"1941"
"874";"Blood on the Sun";"1945"
"875";"Blossoms in the Dust";"1941"
"876";"Body and Soul";"1947"
"877";"Bored of Education";"1936"
"878";"Born Yesterday";"1950"
"879";"A Boy and His Dog";"1946"
"880";"Boys Town";"1938"
"881";"The Brave One";"1956"
"882";"Breakfast at Tiffany's";"1961"
"883";"Breaking the Sound Barrier";"1952"
"884";"The Bridge of San Luis Rey";"1928/29"
"885";"The Bridge on the River Kwai";"1957"
"886";"The Bridges at Toko-Ri";"1955"
"887";"Broadway Melody of 1936";"1935"
"888";"The Broadway Melody";"1928/29"
"889";"Broken Lance";"1954"
"890";"Busy Little Bears";"1939"
"891";"BUtterfield 8";"1960"
"892";"Calamity Jane";"1953"
"893";"Call Me Madam";"1953"
"894";"Captain Carey, U.S.A.";"1950"
"895";"Captains Courageous";"1937"
"896";"Casablanca";"1943"
"897";"Casals Conducts: 1964";"1964"
"898";"The Cat Concerto";"1946"
"899";"Cavalcade";"1932/33"
"900";"Chagall";"1963"
"901";"The Champ";"1931/32"
"902";"Champion";"1949"
"903";"A Chance to Live";"1949"
"904";"The Charge of the Light Brigade";"1936"
"905";"The Chicken (Le Poulet)";"1965"
"906";"Churchill's Island";"1941"
"907";"Cimarron";"1930/31"
"908";"The Circus";"1927/28"
"909";"Citizen Kane";"1941"
"910";"City of Wax";"1934"
"911";"Cleopatra";"1934"
"912";"Cleopatra";"1963"
"913";"Climbing the Matterhorn";"1947"
"914";"Come and Get It";"1936"
"915";"Come Back, Little Sheba";"1952"
"916";"Coquette";"1928/29"
"917";"The Country Cousin";"1936"
"918";"The Country Girl";"1954"
"919";"Cover Girl";"1944"
"920";"The Cowboy and the Lady";"1938"
"921";"Crash Dive";"1943"
"922";"Crashing the Water Barrier";"1956"
"923";"The Critic";"1963"
"924";"La Cucaracha";"1934"
"925";"Cyrano de Bergerac";"1950"
"926";"A Damsel in Distress";"1937"
"927";"Dangerous";"1935"
"928";"The Dark Angel";"1935"
"929";"The Dawn Patrol";"1930/31"
"930";"Day of the Painter";"1960"
"931";"Daybreak in Udi";"1949"
"932";"Days of Wine and Roses";"1962"
"933";"December 7th";"1943"
"934";"Declaration of Independence";"1938"
"935";"The Defiant Ones";"1958"
"936";"Der Fuehrer's Face";"1942"
"937";"Desert Victory";"1943"
"938";"Design for Death";"1947"
"939";"Designing Woman";"1957"
"940";"Destination Moon";"1950"
"941";"The Diary of Anne Frank";"1959"
"942";"Disraeli";"1929/30"
"943";"The Divine Lady";"1928/29"
"944";"Divorce Italian Style";"1962"
"945";"The Divorcee";"1929/30"
"946";"Dodsworth";"1936"
"947";"The Dot and the Line (The Dot and the Line: A Romance in Lower Mathematics)";"1965"
"948";"A Double Life";"1947"
"949";"The Dove";"1927/28"
"950";"Dr. Jekyll and Mr. Hyde";"1931/32"
"951";"Dumbo";"1941"
"952";"Dylan Thomas";"1962"
"953";"East of Eden";"1955"
"954";"Easter Parade";"1948"
"955";"Elmer Gantry";"1960"
"956";"The Enemy Below";"1957"
"957";"Eskimo";"1934"
"958";"Exodus";"1960"
"959";"The Face of Lincoln";"1955"
"960";"Facing Your Danger";"1946"
"961";"The Facts of Life";"1960"
"962";"Fantasia";"1940"
"963";"A Farewell to Arms";"1932/33"
"964";"The Farmer's Daughter";"1947"
"965";"Father Goose";"1964"
"966";"Federico Fellini's 8½";"1963"
"967";"Ferdinand the Bull";"1938"
"968";"The Fighting Lady";"1944"
"969";"First Steps";"1947"
"970";"Flowers and Trees";"1931/32"
"971";"Folies Bergere";"1935"
"972";"For Scent-imental Reasons";"1949"
"973";"For Whom the Bell Tolls";"1943"
"974";"Forbidden Games";"1952"
"975";"A Force in Readiness";"1961"
"976";"A Free Soul";"1930/31"
"977";"Frenchman's Creek";"1945"
"978";"From Here to Eternity";"1953"
"979";"The Garden of Allah";"1936"
"980";"Gaslight";"1944"
"981";"Gate of Hell (Jigokumon)";"1954"
"982";"The Gay Divorcee";"1934"
"983";"Gentleman's Agreement";"1947"
"984";"Gerald McBoing-Boing";"1950"
"985";"Giant";"1956"
"986";"Gigi";"1958"
"987";"Giuseppina";"1960"
"988";"Give Me Liberty";"1936"
"989";"Glass (Glas)";"1959"
"990";"The Glenn Miller Story";"1954"
"991";"Going My Way";"1944"
"992";"Gold Diggers of 1935";"1935"
"993";"The Golden Fish (Histoire d'un poisson rouge)";"1959"
"994";"Goldfinger";"1964"
"995";"Gone with the Wind";"1939"
"996";"The Good Earth";"1937"
"997";"Goodbye, Miss Turlock";"1947"
"998";"Goodbye, Mr. Chips";"1939"
"999";"Grand Canyon";"1958"
"1000";"Grand Hotel";"1931/32"
"1001";"Grandad of Races";"1950"
"1002";"The Grapes of Wrath";"1940"
"1003";"The Great Caruso";"1951"
"1004";"Great Expectations";"1947"
"1005";"The Great Lie";"1941"
"1006";"The Great McGinty";"1940"
"1007";"The Great Waltz";"1938"
"1008";"The Great Ziegfeld";"1936"
"1009";"The Greatest Show on Earth";"1952"
"1010";"Green Dolphin Street";"1947"
"1011";"The Guns of Navarone";"1961"
"1012";"Hamlet";"1948"
"1013";"Happy Anniversary (Heureux Anniversaire)";"1962"
"1014";"Harvey";"1950"
"1015";"The Harvey Girls";"1946"
"1016";"Heavenly Music";"1943"
"1017";"The Heiress";"1949"
"1018";"Helen Keller in Her Story (The Unconquered)";"1955"
"1019";"Hello, Frisco, Hello";"1943"
"1020";"Henry V";"1946"
"1021";"Here Comes Mr. Jordan";"1941"
"1022";"Here Comes the Groom";"1951"
"1023";"The High and the Mighty";"1954"
"1024";"High Noon";"1952"
"1025";"Hitler Lives";"1945"
"1026";"A Hole in the Head";"1959"
"1027";"The Hole";"1962"
"1028";"Holiday Inn";"1942"
"1029";"The Horse with the Flying Tail";"1960"
"1030";"The House I Live In";"1945"
"1031";"The House on 92nd Street";"1945"
"1032";"How Green Was My Valley";"1941"
"1033";"How the West Was Won";"1963"
"1034";"How to Sleep";"1935"
"1035";"Hud";"1963"
"1036";"The Human Comedy";"1943"
"1037";"The Hurricane";"1937"
"1038";"The Hustler";"1961"
"1039";"I Want to Live!";"1958"
"1040";"I Wanted Wings";"1941"
"1041";"I Won't Play";"1944"
"1042";"I'll Cry Tomorrow";"1955"
"1043";"In Beaver Valley";"1950"
"1044";"In Old Arizona";"1928/29"
"1045";"In Old Chicago";"1937"
"1046";"In Which We Serve";"1942"
"1047";"The Informer";"1935"
"1048";"Interrupted Melody";"1955"
"1049";"The Invaders";"1942"
"1050";"Irma la Douce";"1963"
"1051";"It Happened One Night";"1934"
"1052";"It's a Mad, Mad, Mad, Mad World";"1963"
"1053";"The Jazz Singer";"1927/28"
"1054";"Jezebel";"1938"
"1055";"Joan of Arc";"1948"
"1056";"Johann Mouse";"1952"
"1057";"Johnny Belinda";"1948"
"1058";"Johnny Eager";"1942"
"1059";"The Joker Is Wild";"1957"
"1060";"The Jolson Story";"1946"
"1061";"Judgment at Nuremberg";"1961"
"1062";"Julius Caesar";"1953"
"1063";"Kentucky";"1938"
"1064";"Key Largo";"1948"
"1065";"The King and I";"1956"
"1066";"King of Jazz";"1929/30"
"1067";"King Solomon's Mines";"1950"
"1068";"Kitty Foyle (Kitty Foyle: The Natural History of a Woman)";"1940"
"1069";"Knighty Knight Bugs";"1958"
"1070";"Kokoda Front Line!";"1942"
"1071";"Kon-Tiki";"1950"
"1072";"Krakatoa";"1932/33"
"1073";"Kukan";"1941"
"1074";"La Strada (The Road)";"1956"
"1075";"La Dolce Vita";"1961"
"1076";"Lady Be Good";"1941"
"1077";"The Last Command";"1927/28"
"1078";"Laura";"1944"
"1079";"The Lavender Hill Mob";"1952"
"1080";"Lawrence of Arabia";"1962"
"1081";"Leave Her to Heaven";"1945"
"1082";"Lend a Paw";"1941"
"1083";"Les Girls";"1957"
"1084";"A Letter to Three Wives";"1949"
"1085";"The Life of Emile Zola";"1937"
"1086";"Light in the Window";"1952"
"1087";"Lili";"1953"
"1088";"Lilies of the Field";"1963"
"1089";"The Little Kidnappers (The Kidnappers)";"1954"
"1090";"The Little Orphan";"1948"
"1091";"Little Women";"1932/33"
"1092";"Little Women";"1949"
"1093";"The Lives of a Bengal Lancer";"1935"
"1094";"The Living Desert";"1953"
"1095";"The Longest Day";"1962"
"1096";"Lost Horizon";"1937"
"1097";"The Lost Weekend";"1945"
"1098";"Love Is a Many-Splendored Thing";"1955"
"1099";"Love Me or Leave Me";"1955"
"1100";"Lust for Life";"1956"
"1101";"Magoo's Puddle Jumper";"1956"
"1102";"Main Street on the March!";"1941"
"1103";"The Man Who Knew Too Much";"1956"
"1104";"Manhattan Melodrama";"1934"
"1105";"Marie-Louise";"1945"
"1106";"Marty";"1955"
"1107";"Mary Poppins";"1964"
"1108";"Men Against the Arctic";"1955"
"1109";"The Merry Widow";"1934"
"1110";"A Midsummer Night's Dream";"1935"
"1111";"Mighty Joe Young";"1949"
"1112";"Mildred Pierce";"1945"
"1113";"The Milky Way";"1940"
"1114";"Min and Bill";"1930/31"
"1115";"Miracle on 34th Street";"1947"
"1116";"The Miracle Worker";"1962"
"1117";"Mister Roberts";"1955"
"1118";"Monsieur Vincent";"1948"
"1119";"Moonbird";"1959"
"1120";"The More the Merrier";"1943"
"1121";"Morning Glory";"1932/33"
"1122";"Moscow Strikes Back";"1942"
"1123";"Mother Wore Tights";"1947"
"1124";"Moulin Rouge";"1952"
"1125";"Mouse Trouble";"1944"
"1126";"Mr. Deeds Goes to Town";"1936"
"1127";"Mr. Smith Goes to Washington";"1939"
"1128";"Mrs. Miniver";"1942"
"1129";"Munro";"1960"
"1130";"The Music Box";"1931/32"
"1131";"The Music Man";"1962"
"1132";"Mutiny on the Bounty";"1935"
"1133";"My Fair Lady";"1964"
"1134";"My Uncle (Mon oncle)";"1958"
"1135";"My Gal Sal";"1942"
"1136";"The Naked City";"1948"
"1137";"National Velvet";"1945"
"1138";"Nature's Half Acre";"1951"
"1139";"Naughty Marietta";"1935"
"1140";"Neighbours";"1952"
"1141";"Neptune's Daughter";"1949"
"1142";"Never on Sunday (Pote tin Kyriaki)";"1960"
"1143";"The Night of the Iguana";"1964"
"1144";"Nights of Cabiria (Le Notti di Cabiria)";"1957"
"1145";"Nine from Little Rock";"1964"
"1146";"None But the Lonely Heart";"1944"
"1147";"North West Mounted Police";"1940"
"1148";"Now, Voyager";"1942"
"1149";"An Occurrence at Owl Creek Bridge";"1963"
"1150";"Of Pups and Puzzles";"1941"
"1151";"Oklahoma!";"1955"
"1152";"The Old Man and the Sea";"1958"
"1153";"The Old Mill";"1937"
"1154";"On the Town";"1949"
"1155";"On the Waterfront";"1954"
"1156";"One Hundred Men and a Girl";"1937"
"1157";"One Night of Love";"1934"
"1158";"One Way Passage";"1932/33"
"1159";"Overture to The Merry Wives of Windsor";"1953"
"1160";"The Paleface";"1948"
"1161";"Panic in the Streets";"1950"
"1162";"Papa's Delicate Condition";"1963"
"1163";"The Patriot";"1928/29"
"1164";"Penny Wisdom";"1937"
"1165";"Phantom of the Opera";"1943"
"1166";"The Philadelphia Story";"1940"
"1167";"Picnic";"1955"
"1168";"The Picture of Dorian Gray";"1945"
"1169";"Pillow Talk";"1959"
"1170";"The Pink Phink";"1964"
"1171";"Pinocchio";"1940"
"1172";"A Place in the Sun";"1951"
"1173";"Plymouth Adventure";"1952"
"1174";"Pollyanna";"1960"
"1175";"Porgy and Bess";"1959"
"1176";"Portrait of Jennie";"1948"
"1177";"Prelude to War";"1942"
"1178";"Pride and Prejudice";"1940"
"1179";"The Pride of the Yankees";"1942"
"1180";"Princess O'Rourke";"1943"
"1181";"The Private Life of Henry VIII";"1932/33"
"1182";"The Private Life of the Gannets";"1937"
"1183";"Project Hope";"1961"
"1184";"The Public Pays";"1936"
"1185";"Pygmalion";"1938"
"1186";"Quicker'n a Wink";"1940"
"1187";"The Quiet Man";"1952"
"1188";"Quiet Please!";"1945"
"1189";"The Rains Came";"1939"
"1190";"Rashomon";"1951"
"1191";"The Razor's Edge";"1946"
"1192";"Reap the Wild Wind";"1942"
"1193";"Rebecca";"1940"
"1194";"The Red Balloon (Le ballon rouge)";"1956"
"1195";"The Red Shoes";"1948"
"1196";"The Robe";"1953"
"1197";"Robert Frost: A Lover's Quarrel with the World";"1963"
"1198";"Roman Holiday";"1953"
"1199";"Room at the Top";"1959"
"1200";"The Rose Tattoo";"1955"
"1201";"Sabrina";"1954"
"1202";"Samson and Delilah";"1950"
"1203";"Samurai I: Musashi Miyamoto (Miyamoto Musashi)";"1955"
"1204";"San Francisco";"1936"
"1205";"Sayonara";"1957"
"1206";"The Scoundrel";"1935"
"1207";"The Sea Around Us";"1952"
"1208";"Seal Island";"1948"
"1209";"The Search";"1948"
"1210";"Seawards the Great Ships";"1961"
"1211";"The Secret Land";"1948"
"1212";"Seeds of Destiny";"1946"
"1213";"Separate Tables";"1958"
"1214";"Serengeti Shall Not Die (Serengeti darf nicht sterben)";"1959"
"1215";"Sergeant York";"1941"
"1216";"Seven Brides for Seven Brothers";"1954"
"1217";"Seven Days to Noon";"1951"
"1218";"The Seventh Veil";"1946"
"1219";"Shane";"1953"
"1220";"Shanghai Express";"1931/32"
"1221";"She Wore a Yellow Ribbon";"1949"
"1222";"Shoeshine (Sciuscià)";"1947"
"1223";"The Silent World (Le Monde du silence)";"1956"
"1224";"The Sin of Madelon Claudet";"1931/32"
"1225";"Since You Went Away";"1944"
"1226";"Skippy";"1930/31"
"1227";"Sky Above and Mud Beneath (Le Ciel et la boue)";"1961"
"1228";"The Snake Pit";"1948"
"1229";"Snow White and the Seven Dwarfs";"1937"
"1230";"So Much for So Little";"1949"
"1231";"So This Is Harris!";"1932/33"
"1232";"The Solid Gold Cadillac";"1956"
"1233";"Some Like It Hot";"1959"
"1234";"Somebody Up There Likes Me";"1956"
"1235";"The Song of Bernadette";"1943"
"1236";"Song of the South";"1947"
"1237";"Song Without End";"1960"
"1238";"Sons and Lovers";"1960"
"1239";"Sons of Liberty";"1939"
"1240";"South Pacific";"1958"
"1241";"Spartacus";"1960"
"1242";"Spawn of the North";"1938"
"1243";"Speaking of Animals and Their Families";"1942"
"1244";"Speedy Gonzales";"1955"
"1245";"Spellbound";"1945"
"1246";"Splendor in the Grass";"1961"
"1247";"Stagecoach";"1939"
"1248";"Stairway to Light";"1945"
"1249";"Stalag 17";"1953"
"1250";"Star in the Night";"1945"
"1251";"A Star Is Born";"1937"
"1252";"State Fair";"1945"
"1253";"The Story of Louis Pasteur";"1936"
"1254";"The Stratton Story";"1949"
"1255";"Street Angel";"1927/28"
"1256";"A Streetcar Named Desire";"1951"
"1257";"Strike Up the Band";"1940"
"1258";"The Substitute";"1961"
"1259";"Sundays and Cybele (Le Dimanches de Ville d'Avray)";"1962"
"1260";"Sunrise";"1927/28"
"1261";"Sunset Boulevard";"1950"
"1262";"Survival City";"1955"
"1263";"Suspicion";"1941"
"1264";"Sweet Bird of Youth";"1962"
"1265";"Sweethearts";"1938"
"1266";"Swing Time";"1936"
"1267";"Symphony of a City";"1948"
"1268";"Tabu";"1930/31"
"1269";"Target for Tonight";"1941"
"1270";"Teddy, the Rough Rider";"1940"
"1271";"Tempest";"1927/28"
"1272";"The Ten Commandments";"1956"
"1273";"That Hamilton Woman";"1941"
"1274";"That Mothers Might Live";"1938"
"1275";"The Thief of Bagdad";"1940"
"1276";"The Third Man";"1950"
"1277";"Thirty Seconds Over Tokyo";"1944"
"1278";"This Above All";"1942"
"1279";"This Is the Army";"1943"
"1280";"This Land Is Mine";"1943"
"1281";"This Mechanical Age";"1954"
"1282";"Three Coins in the Fountain";"1954"
"1283";"The Three Faces of Eve";"1957"
"1284";"Three Little Pigs";"1932/33"
"1285";"Three Orphan Kittens";"1935"
"1286";"Through a Glass Darkly (Såsom i en spegel)";"1961"
"1287";"Thunderball";"1965"
"1288";"Thursday's Children";"1954"
"1289";"The Time Machine";"1960"
"1290";"A Time Out of War";"1954"
"1291";"Tin Pan Alley";"1940"
"1292";"The Titan: Story of Michelangelo";"1950"
"1293";"Titanic";"1953"
"1294";"To Catch a Thief";"1955"
"1295";"To Each His Own";"1946"
"1296";"To Kill a Mockingbird";"1962"
"1297";"Tom Jones";"1963"
"1298";"tom thumb";"1958"
"1299";"Toot, Whistle, Plunk and Boom";"1953"
"1300";"Topkapi";"1964"
"1301";"The Tortoise and the Hare";"1934"
"1302";"Torture Money";"1937"
"1303";"Toward Independence";"1948"
"1304";"Transatlantic";"1931/32"
"1305";"The Treasure of the Sierra Madre";"1948"
"1306";"A Tree Grows in Brooklyn";"1945"
"1307";"The True Glory";"1945"
"1308";"The True Story of the Civil War";"1956"
"1309";"Tweetie Pie";"1947"
"1310";"Twelve O'Clock High";"1949"
"1311";"Two Arabian Knights";"1927/28"
"1312";"The Two Mouseketeers";"1951"
"1313";"Two Women (La Ciociara)";"1961"
"1314";"The Ugly Duckling";"1939"
"1315";"Underworld";"1927/28"
"1316";"The V.I.P.s";"1963"
"1317";"Vacation from Marriage (UK title Perfect Strangers)";"1946"
"1318";"Van Gogh";"1949"
"1319";"The Vanishing Prairie";"1954"
"1320";"The Virgin Spring (Jungfrukällan)";"1960"
"1321";"Viva Villa!";"1934"
"1322";"Viva Zapata!";"1952"
"1323";"Waikiki Wedding";"1937"
"1324";"The Walls of Malapaga";"1950"
"1325";"The War of the Worlds";"1953"
"1326";"Watch on the Rhine";"1943"
"1327";"Water Birds";"1952"
"1328";"The Way of All Flesh";"1927/28"
"1329";"West Side Story";"1961"
"1330";"The Westerner";"1940"
"1331";"The Wetback Hound";"1957"
"1332";"What Ever Happened to Baby Jane?";"1962"
"1333";"When Tomorrow Comes";"1939"
"1334";"When Magoo Flew";"1954"
"1335";"When Worlds Collide";"1951"
"1336";"White Shadows in the South Seas";"1928/29"
"1337";"White Wilderness";"1958"
"1338";"Who's Who in Animal Land";"1944"
"1339";"Why Korea?";"1950"
"1340";"Wilson";"1944"
"1341";"Wings";"1927/28"
"1342";"Wings Over Everest";"1935"
"1343";"With a Song in My Heart";"1952"
"1344";"With Byrd at the South Pole";"1929/30"
"1345";"With the Marines at Tarawa";"1944"
"1346";"The Wizard of Oz";"1939"
"1347";"Woman of the Year";"1942"
"1348";"Wonder Man";"1945"
"1349";"The Wonderful World of the Brothers Grimm";"1962"
"1350";"World of Kids";"1951"
"1351";"World Without Sun (Le Monde sans soleil)";"1964"
"1352";"Wrestling Swordfish";"1931/32"
"1353";"Written on the Wind";"1956"
"1354";"Wuthering Heights";"1939"
"1355";"Yankee Doodle Dandy";"1942"
"1356";"The Yankee Doodle Mouse";"1943"
"1357";"The Yearling";"1946"
"1358";"Yesterday, Today and Tomorrow (Ieri, oggi, domani)";"1964"
"1359";"You Can't Take It with You";"1938"
"1360";"Zorba the Greek (Alexis Zorbas)";"1964"
